,sensor_id,value,time,old_sen
0,5889,1,49,3
1,5889,0,252,3
2,5889,1,301,3
3,5889,0,504,3
4,5889,1,505,3
5,5889,0,506,3
6,5889,1,509,3
7,5889,0,510,3
8,5889,1,513,3
9,5889,0,514,3
10,5889,1,515,3
11,5889,0,518,3
12,5889,1,519,3
13,5889,0,530,3
14,5893,1,558,15
15,5893,0,560,15
16,5893,1,592,15
17,5893,0,594,15
18,5896,1,616,19
19,5896,0,797,19
20,5893,1,811,15
21,5893,0,812,15
22,5893,1,822,15
23,5893,0,824,15
24,5893,1,828,15
25,5893,0,831,15
26,5889,1,884,3
27,5889,0,1056,3
28,5889,1,1059,3
29,5889,0,1060,3
30,5889,1,1061,3
31,5889,0,1063,3
32,5889,1,1064,3
33,5889,0,1066,3
34,5889,1,1070,3
35,5889,0,1075,3
36,5889,1,1076,3
37,5889,0,1100,3
38,5889,1,1101,3
39,5889,0,1103,3
40,5889,1,1105,3
41,5889,0,1139,3
42,5889,1,1143,3
43,5889,0,1145,3
44,5889,1,1147,3
45,5889,0,1333,3
46,5889,1,1337,3
47,5889,0,1338,3
48,5889,1,1342,3
49,5889,0,1343,3
50,5889,1,1344,3
51,5889,0,1350,3
52,5889,1,1351,3
53,5889,0,1353,3
54,5889,1,1354,3
55,5889,0,1389,3
56,5889,1,1390,3
57,5889,0,1470,3
58,5889,1,1471,3
59,5889,0,1806,3
60,5889,1,1807,3
61,5889,0,1854,3
62,5889,1,1885,3
63,5889,0,1895,3
64,5889,1,1924,3
65,5889,0,2040,3
66,5889,1,2096,3
67,5889,0,2098,3
68,5889,1,2164,3
69,5889,0,2180,3
70,5889,1,2273,3
71,5889,0,2372,3
72,5889,1,2461,3
73,5889,0,2571,3
74,5889,1,2572,3
75,5895,1,2637,12
76,7125,1,2639,17
77,7125,0,2870,17
78,7125,1,2871,17
79,7125,0,2954,17
80,7125,1,2955,16
81,7125,0,2957,16
82,7125,1,2972,16
83,7125,0,2973,16
84,5895,0,2980,12
85,5889,0,3215,3
86,5889,1,3255,3
87,5889,0,3288,3
88,5893,1,3356,15
89,5893,0,3357,15
90,5893,1,3359,15
91,5893,0,3364,15
92,5893,1,3365,15
93,5893,0,3366,15
94,5893,1,3367,15
95,5893,0,3370,15
96,7125,1,3406,16
97,7125,0,3409,16
98,7125,1,3507,16
99,7125,0,3516,16
100,5895,1,3616,12
101,7125,1,3620,17
102,7125,0,3656,17
103,7125,1,3659,17
104,7125,0,3663,17
105,7125,1,3665,16
106,7125,0,3667,16
107,7125,1,3674,16
108,7125,0,3675,16
109,5895,0,3682,12
110,7125,1,4555,16
111,7125,0,4557,16
112,5893,1,4579,15
113,5893,0,4580,15
114,5896,1,4583,19
115,5893,1,4595,15
116,5893,0,4598,15
117,5889,1,5532,3
118,5889,0,5533,3
119,5889,1,5538,3
120,5893,1,5843,15
121,5893,0,5844,15
122,5893,1,5847,15
123,5893,0,5849,15
124,5893,1,5904,15
125,5893,0,5906,15
126,5893,1,5908,15
127,5893,0,5915,15
128,5896,0,22989,19
129,7125,1,22997,16
130,7125,0,22999,16
131,7125,1,23008,16
132,7125,0,23012,16
133,5893,1,23019,15
134,5893,0,23020,15
135,7125,1,23105,16
136,7125,0,23108,16
137,5893,1,23118,15
138,5893,0,23120,15
139,5893,1,23128,15
140,5893,0,23130,15
141,7125,1,23331,16
142,7125,0,23333,16
143,7125,1,23368,16
144,7125,0,23369,16
145,7125,1,23371,16
146,7125,0,23372,16
147,7125,1,23396,16
148,7125,0,23399,16
149,7125,1,23436,16
150,7125,0,23438,16
151,7125,1,23491,16
152,7125,0,23496,16
153,7125,1,23501,16
154,7125,0,23503,16
155,7125,1,23622,16
156,7125,0,23626,16
157,7125,1,23632,16
158,7125,0,23634,16
159,7125,1,23660,16
160,7125,0,23661,16
161,5895,1,23677,12
162,7125,1,23678,17
163,7125,0,23730,17
164,7125,1,23731,16
165,7125,0,23733,16
166,7125,1,23743,16
167,7125,0,23744,16
168,5895,0,23749,12
169,5896,1,23861,19
170,5896,0,23881,19
171,5888,1,23929,11
172,5888,0,23938,11
173,5889,0,32715,3
174,7125,1,33003,16
175,7125,0,33006,16
176,7125,1,33049,16
177,7125,0,33051,16
178,5893,1,33059,15
179,5893,0,33061,15
180,5893,1,33062,15
181,5893,0,33064,15
182,5893,1,33078,15
183,5893,0,33083,15
184,5889,1,33152,4
185,5889,0,33188,4
186,5889,1,33212,4
187,5889,0,33216,4
188,5889,1,33217,4
189,5889,0,34383,4
190,5889,1,34422,3
191,5889,0,34423,3
192,5889,1,34431,3
193,5889,0,34513,3
194,6253,1,34575,7
195,5893,1,34597,15
196,5893,0,34601,15
197,6253,0,34631,7
198,5893,1,34640,15
199,5893,0,34643,15
200,5893,1,34645,15
201,5893,0,34648,15
202,5893,1,34649,15
203,5893,0,34657,15
204,5893,1,34668,15
205,5893,0,34671,15
206,5893,1,34727,15
207,5893,0,34728,15
208,5893,1,34731,15
209,5893,0,34733,15
210,5893,1,34735,15
211,5893,0,34736,15
212,5893,1,34826,15
213,5893,0,34846,15
214,5893,1,34847,15
215,5893,0,34882,15
216,5893,1,34898,15
217,5893,0,34902,15
218,5893,1,34927,15
219,5893,0,34933,15
220,5893,1,34961,15
221,5893,0,34965,15
222,5893,1,34978,15
223,5893,0,34989,15
224,5893,1,35025,15
225,5893,0,35032,15
226,5893,1,35267,15
227,5893,0,35269,15
228,5893,1,35521,15
229,5893,0,35526,15
230,5893,1,35542,15
231,5893,0,35543,15
232,5893,1,36318,15
233,5893,0,36320,15
234,5893,1,36327,15
235,5893,0,36328,15
236,5893,1,36339,15
237,5893,0,36340,15
238,5893,1,36385,15
239,5893,0,36387,15
240,5893,1,36411,15
241,5893,0,36414,15
242,5893,1,37053,15
243,5893,0,37057,15
244,5893,1,37082,15
245,5893,0,37084,15
246,6253,1,37086,7
247,5893,1,37094,15
248,5893,0,37095,15
249,6253,0,37100,7
250,5893,1,37103,15
251,5893,0,37107,15
252,5893,1,37111,15
253,5893,0,37112,15
254,5893,1,37113,15
255,5893,0,37114,15
256,5893,1,37124,15
257,5893,0,37128,15
258,5893,1,37129,15
259,5893,0,37130,15
260,5893,1,37134,15
261,5893,0,37140,15
262,5893,1,37142,15
263,5893,0,37145,15
264,5895,1,37215,12
265,7125,1,37218,17
266,7125,0,37269,17
267,7125,1,37272,16
268,7125,0,37274,16
269,7125,1,37284,16
270,7125,0,37285,16
271,5895,0,37294,12
272,5893,1,39743,15
273,5893,0,39745,15
274,5893,1,39748,15
275,5893,0,39749,15
276,5893,1,39755,15
277,5893,0,39757,15
278,7125,1,39803,16
279,7125,0,39805,16
280,7125,1,39943,16
281,7125,0,39946,16
282,7125,1,39949,16
283,7125,0,39950,16
