,sensor_id,value,time,old_sen
0,5896,0,18060,15
1,5895,1,18067,17
2,5895,0,18069,17
3,7125,1,18074,19
4,7125,0,18080,19
5,7125,1,18124,19
6,7125,0,18125,19
7,7125,1,18128,19
8,7125,0,18135,19
9,7125,1,18141,6
10,7125,0,18143,6
11,7125,1,18150,6
12,7125,0,18151,6
13,5895,1,18156,17
14,5895,0,18157,17
15,5896,1,18164,15
16,5896,0,19329,15
17,5893,1,19335,18
18,5893,0,19337,18
19,5893,1,19354,18
20,5893,0,19355,18
21,5893,1,19356,18
22,5893,0,19360,18
23,5893,1,19362,18
24,5893,0,19363,18
25,6253,1,19383,10
26,6253,0,19388,10
27,5893,1,19390,18
28,5893,0,19391,18
29,5893,1,19396,18
30,5893,0,19398,18
31,5896,1,19406,15
32,5896,0,37144,14
33,5895,1,37166,17
34,5895,0,37167,17
35,7125,1,37170,19
36,7125,0,37175,19
37,7125,1,37614,19
38,7125,0,37622,19
39,7125,1,37624,6
40,7125,0,37626,6
41,5895,1,37657,17
42,5895,0,37658,17
43,5889,1,37705,16
44,5889,0,37724,16
45,5889,1,37725,16
46,5889,0,37755,16
47,5889,1,37756,16
48,5889,0,37760,16
49,5889,1,37761,16
50,5889,0,37803,16
51,5889,1,37804,16
52,5889,0,37805,16
53,5889,1,37806,16
54,5889,0,37807,16
55,5889,1,37808,16
56,5889,0,37816,16
57,5889,1,37817,16
58,5889,0,37822,16
59,5889,1,37823,16
60,5896,0,38824,15
61,5889,0,38840,16
62,5889,1,38842,16
63,5889,0,38851,16
64,5889,1,38852,16
65,5889,0,38863,16
66,5889,1,38865,16
67,5889,0,38869,16
68,5889,1,38870,16
69,5889,0,38875,16
70,5889,1,38887,16
71,5889,0,38888,16
72,5889,1,38889,16
73,5889,0,38890,16
74,5889,1,38892,16
75,5889,0,38915,16
76,5889,1,38916,16
77,5889,0,38945,16
78,5889,1,38946,16
79,5889,0,38952,16
80,5889,1,38954,16
81,5889,0,38960,16
82,5889,1,38961,16
83,5889,0,38976,16
84,5889,1,38977,16
85,5889,0,38986,16
86,5889,1,38987,16
87,5889,0,38988,16
88,5889,1,38989,16
89,5889,0,38991,16
90,5889,1,38993,16
91,5889,0,38994,16
92,5889,1,38995,16
93,5889,0,39019,16
94,5889,1,39020,16
95,5889,0,39026,16
96,5895,1,39028,17
97,5895,0,39029,17
98,5889,1,39036,16
99,5889,0,39039,16
100,5889,1,39043,16
101,5889,0,39044,16
102,5889,1,39046,16
103,5895,1,39106,17
104,5895,0,39107,17
105,5895,1,39129,17
106,5895,0,39132,17
107,7125,1,39139,19
108,7125,0,39142,19
109,5889,0,39173,16
110,5889,1,39174,16
111,5889,0,39175,16
112,5889,1,39176,16
113,5889,0,39185,16
114,5889,1,39186,16
115,5889,0,39190,16
116,5889,1,39191,16
117,7125,1,39195,19
118,7125,0,39204,19
119,5895,1,39222,17
120,5895,0,39223,17
121,5895,1,39234,17
122,5895,0,39235,17
123,7125,1,39272,6
124,7125,0,39275,6
125,7125,1,39317,6
126,7125,0,39318,6
127,7125,1,39331,6
128,7125,0,39333,6
129,5889,0,39352,16
130,5895,1,39382,17
131,5889,1,39383,16
132,5895,0,39384,17
133,5889,0,39386,16
134,5889,1,39387,16
135,5889,0,39392,16
136,5889,1,39393,16
137,5889,0,39400,16
138,5889,1,39401,16
139,5893,1,39404,18
140,5893,0,39408,18
141,5889,0,39410,16
142,5889,1,39411,16
143,5889,0,39413,16
144,5889,1,39416,16
145,5893,1,39417,18
146,5889,0,39419,16
147,5889,1,39421,16
148,5893,0,39422,18
149,5893,1,39423,18
150,5889,0,39436,16
151,5893,1,39439,18
152,5889,1,39442,16
153,5893,1,39443,18
154,5889,0,39444,16
155,5889,1,39445,16
156,5893,0,39446,18
157,5889,0,39447,16
158,5889,1,39448,16
159,5893,1,39450,18
160,5893,0,39451,18
